,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
39,2012-11-30,2012-12-20,-0.27,-0.2,-0.07,-35
40,2012-08-31,2012-09-27,-0.24,-0.23,-0.01,-4.3478
41,2012-05-31,2012-06-20,-0.32,-0.2,-0.12,-60
42,2012-02-29,2012-03-22,-0.29,-0.19,-0.1,-52.6316
43,2011-11-30,2011-12-21,-0.19,-0.08,-0.11,-137.5
44,2011-08-31,2011-09-29,-0.14,0.01,-0.15,-1500
45,2011-05-31,2011-06-23,0.07,0.16,-0.09,-56.25
46,2011-02-28,2011-03-23,0.07,0.02,0.05,250
47,2010-11-30,2010-12-22,0.15,0.28,-0.13,-46.4286
48,2010-08-31,2010-10-07,0.32,0.38,-0.06,-15.7895
49,2010-05-31,2010-06-28,0.45,0.43,0.02,4.6512
50,2010-02-28,2010-03-31,0.39,0.24,0.15,62.5
51,2009-11-30,2009-12-22,0.23,0.07,0.16,228.5714
52,2009-08-31,2009-09-29,-0.09,-0.18,0.09,50
53,2009-05-31,2009-06-25,-0.57,-0.43,-0.14,-32.5581
54,2009-02-28,2009-04-02,-0.82,-0.64,-0.18,-28.125
55,2008-11-30,2008-12-23,-0.72,-0.45,-0.27,-60
56,2008-08-31,2008-10-01,-0.27,-0.24,-0.03,-12.5
57,2008-05-31,2008-06-26,-0.3,-0.28,-0.02,-7.1429
58,2008-02-29,2008-04-02,-0.41,-0.36,-0.05,-13.8889
59,2007-11-30,2007-12-20,-0.34,-0.2,-0.14,-70
60,2007-08-31,2007-10-02,-0.21,-0.22,0.01,4.5455
61,2007-05-31,2007-06-28,-0.29,-0.24,-0.05,-20.8333
62,2007-02-28,2007-04-04,-0.07,-0.01,-0.06,-600
63,2006-11-30,2006-12-21,0.15,0.2,-0.05,-25
64,2006-08-31,2006-10-05,0.08,0.14,-0.06,-42.8571
65,2006-05-31,2006-06-28,0.12,0.09,0.03,33.3333
66,2006-02-28,2006-04-10,-0.04,0.06,-0.1,-166.6667
67,2005-11-30,2005-12-21,0.09,0.11,-0.02,-18.1818
68,2005-08-31,2005-09-29,0.07,-0.08,0.15,187.5
69,2005-05-31,2005-06-23,-0.2,0.02,-0.22,-1100
70,2005-02-28,2005-03-29,0.17,0.15,0.02,13.3333
71,2004-11-30,2004-12-22,0.23,0.22,0.01,4.5455
72,2004-08-31,2004-09-29,0.14,0.2,-0.06,-30
73,2004-05-31,2004-06-23,0.13,0.09,0.04,44.4444
74,2004-02-29,2004-03-24,-0.04,-0.06,0.02,33.3333
75,2003-11-30,2003-12-23,0.0003,-0.06,0.0603,100.5
76,2003-08-31,2003-09-24,-0.2,-0.25,0.05,20
77,2003-05-31,2003-06-18,-0.36,-0.52,0.16,30.7692
78,2003-02-28,2003-03-20,-0.83,-0.46,-0.37,-80.4348
79,2002-11-30,2002-12-17,-0.52,-0.23,-0.29,-126.087
80,2002-08-31,2002-09-24,-0.18,-0.18,0,0
81,2002-05-31,2002-06-25,-0.04,0.06,-0.1,-166.6667
82,2002-02-28,2002-03-21,-0.05,-0.05,0,0
83,2001-11-30,2001-12-18,-0.44,-0.39,-0.05,-12.8205
84,2001-08-31,2001-09-25,-0.28,-0.34,0.06,17.6471
85,2001-05-31,2001-06-21,-0.23,-0.15,-0.08,-53.3333
86,2001-02-28,2001-03-29,-0.01,-0.02,0.01,50
87,2000-11-30,2000-12-20,0.58,0.58,0,0
88,2000-08-31,2000-10-04,1.2,0.96,0.24,25
89,2000-05-31,2000-06-22,0.47,0.35,0.12,34.2857
90,2000-02-29,2000-03-21,0.29,0.36,-0.07,-19.4444
91,1999-11-30,1999-12-22,0.6,0.4,0.2,50
92,1999-08-31,1999-10-04,-0.04,-0.09,0.05,55.5556
93,1999-05-31,1999-06-23,-0.05,0.01,-0.06,-600
94,1999-02-28,1999-03-24,0.04,None,None,None
95,1998-11-30,1998-12-23,-0.09,-0.15,0.06,40
96,1998-08-31,1998-09-28,-0.21,-0.27,0.06,22.2222
97,1998-05-31,1998-06-18,-0.2,-0.22,0.02,9.0909
98,1998-02-28,1998-03-17,-0.2,-0.08,-0.12,-150
99,1997-11-30,1997-12-15,0.02,0.04,-0.02,-50
100,1997-08-31,1997-09-22,0.17,0.24,-0.07,-29.1667
101,1997-05-31,1997-06-16,0.22,0.18,0.04,22.2222
102,1997-02-28,1997-03-17,0.09,0.07,0.02,28.5714
103,1996-11-30,1996-12-16,0.04,0.03,0.01,33.3333
104,1996-08-31,1996-09-19,-0.04,-0.01,-0.03,-300
105,1996-05-31,1996-06-13,0.12,0.16,-0.04,-25
106,1996-02-29,1996-03-14,0.48,0.52,-0.04,-7.6923
