,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
50,2010-03-31,2010-04-21,0.59,0.56,0.03,5.3571
51,2009-12-31,2010-01-27,0.62,0.56,0.06,10.7143
52,2009-09-30,2009-11-04,0.64,0.52,0.12,23.0769
53,2009-06-30,2009-07-22,0.54,0.52,0.02,3.8462
54,2009-03-31,2009-04-27,0.41,0.41,0,0
55,2008-12-31,2009-01-28,0.31,0.47,-0.16,-34.0426
56,2008-09-30,2008-11-06,0.63,0.6,0.03,5
57,2008-06-30,2008-07-23,0.55,0.55,0,0
58,2008-03-31,2008-04-23,0.54,0.52,0.02,3.8462
59,2007-12-31,2008-01-23,0.52,0.53,-0.01,-1.8868
60,2007-09-30,2007-11-08,0.54,0.53,0.01,1.8868
61,2007-06-30,2007-07-25,0.55,0.52,0.03,5.7692
62,2007-03-31,2007-04-25,0.5,0.48,0.02,4.1667
63,2006-12-31,2007-01-24,0.43,0.42,0.01,2.381
64,2006-09-30,2006-11-02,0.42,0.41,0.01,2.439
65,2006-06-30,2006-07-19,0.42,0.42,0,0
66,2006-03-31,2006-04-19,0.41,0.4,0.01,2.5
67,2005-12-31,2006-01-25,0.39,0.38,0.01,2.6316
68,2005-09-30,2005-11-02,0.32,0.33,-0.01,-3.0303
69,2005-06-30,2005-07-20,0.28,0.25,0.03,12
70,2005-03-31,2005-04-20,0.29,0.27,0.02,7.4074
71,2004-12-31,2005-01-19,0.28,0.27,0.01,3.7037
72,2004-09-30,2004-11-03,0.29,0.29,0,0
73,2004-06-30,2004-07-21,0.28,0.26,0.02,7.6923
74,2004-03-31,2004-04-21,0.27,0.24,0.03,12.5
75,2003-12-31,2004-01-21,0.26,0.24,0.02,8.3333
76,2003-09-30,2003-11-05,0.14,0.14,0,0
77,2003-06-30,2003-07-23,0.17,0.15,0.02,13.3333
78,2003-03-31,2003-04-23,0.19,0.18,0.01,5.5556
79,2002-12-31,2003-01-22,0.21,0.19,0.02,10.5263
80,2002-09-30,2002-11-07,0.16,0.14,0.02,14.2857
81,2002-06-30,2002-07-25,0.12,0.11,0.01,9.0909
82,2002-03-31,2002-04-24,0.1,0.1,0,0
83,2001-12-31,2002-01-24,0.12,0.11,0.01,9.0909
84,2001-09-30,2001-11-06,0.12,0.12,0,0
85,2001-06-30,2001-07-26,0.11,0.1,0.01,10
86,2001-03-31,2001-04-25,0.14,0.15,-0.01,-6.6667
87,2000-12-31,2001-01-25,0.14,0.14,0,0
88,2000-09-30,2000-11-02,0.13,0.14,-0.01,-7.1429
89,2000-06-30,2000-07-19,0.14,0.14,0,0
90,2000-03-31,2000-04-18,0.13,0.12,0.01,8.3333
91,1999-12-31,2000-01-25,0.13,0.12,0.01,8.3333
92,1999-09-30,1999-11-02,0.11,0.11,0,0
93,1999-06-30,1999-07-19,0.09,0.08,0.01,12.5
94,1999-03-31,1999-04-20,0.05,0.04,0.01,25
95,1998-12-31,1999-01-19,0.04,0.04,0,0
96,1998-09-30,1998-11-03,0.03,0.03,0,0
97,1998-06-30,1998-07-21,0.02,0.02,0,0
98,1998-03-31,1998-04-21,0.02,0.01,0.01,100
99,1997-12-31,1998-01-20,0.04,0.03,0.01,33.3333
100,1997-09-30,1997-11-11,0.03,0.02,0.01,50
101,1997-06-30,1997-07-22,0.02,0.02,0,0
102,1997-03-31,1997-04-21,0.01,0.01,0,0
103,1996-12-31,1997-01-20,0.01,0.01,0,0
104,1996-09-30,1996-11-18,0.01,0.01,0,0
105,1996-06-30,1996-07-22,0.0013,None,None,None
106,1996-03-31,1996-04-16,0.0013,0.01,-0.0087,-87
