,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
61,2007-05-31,2007-06-26,0.37,0.35,0.02,5.7143
62,2007-02-28,2007-03-20,0.25,0.23,0.02,8.6957
63,2006-11-30,2006-12-18,0.22,0.22,0,0
64,2006-08-31,2006-09-19,0.18,0.16,0.02,12.5
65,2006-05-31,2006-06-22,0.29,0.28,0.01,3.5714
66,2006-02-28,2006-03-20,0.19,0.18,0.01,5.5556
67,2005-11-30,2005-12-15,0.19,0.19,0,0
68,2005-08-31,2005-09-22,0.14,0.14,0,0
69,2005-05-31,2005-06-29,0.26,0.23,0.03,13.0435
70,2005-02-28,2005-03-22,0.16,0.15,0.01,6.6667
71,2004-11-30,2004-12-13,0.16,0.14,0.02,14.2857
72,2004-08-31,2004-09-14,0.1,0.09,0.01,11.1111
73,2004-05-31,2004-06-15,0.19,0.18,0.01,5.5556
74,2004-02-29,2004-03-11,0.12,0.12,0,0
75,2003-11-30,2003-12-15,0.12,0.11,0.01,9.0909
76,2003-08-31,2003-09-12,0.08,0.08,0,0
77,2003-05-31,2003-06-12,0.16,0.14,0.02,14.2857
78,2003-02-28,2003-03-18,0.11,0.1,0.01,10
79,2002-11-30,2002-12-18,0.1,0.08,0.02,25
80,2002-08-31,2002-09-17,0.07,0.07,0,0
81,2002-05-31,2002-06-18,0.14,0.12,0.02,16.6667
82,2002-02-28,2002-03-14,0.09,0.09,0,0
83,2001-11-30,2001-12-13,0.1,0.1,0,0
84,2001-08-31,2001-09-13,0.09,0.08,0.01,12.5
85,2001-05-31,2001-06-18,0.15,0.14,0.01,7.1429
86,2001-02-28,2001-03-15,0.1,0.1,0,0
87,2000-11-30,2000-12-14,0.11,0.1,0.01,10
88,2000-08-31,2000-09-14,0.09,0.06,0.03,50
89,2000-05-31,2000-06-20,0.16,0.13,0.03,23.0769
90,2000-02-29,2000-03-14,0.09,0.07,0.02,28.5714
91,1999-11-30,1999-12-14,0.07,0.05,0.02,40
92,1999-08-31,1999-09-14,0.04,0.04,0,0
93,1999-05-31,1999-06-15,0.09,0.08,0.01,12.5
94,1999-02-28,1999-03-11,0.05,0.05,0,0
95,1998-11-30,1998-12-10,0.05,0.04,0.01,25
96,1998-08-31,1998-09-10,0.03,0.03,0,0
97,1998-05-31,1998-06-17,0.07,0.06,0.01,16.6667
98,1998-02-28,1998-03-12,0.04,0.03,0.01,33.3333
99,1997-11-30,1997-12-08,0.03,0.04,-0.01,-25
100,1997-08-31,1997-09-16,0.03,0.02,0.01,50
101,1997-05-31,1997-06-17,0.06,0.06,0,0
102,1997-02-28,1997-03-13,0.03,0.03,0,0
103,1996-11-30,1996-12-12,0.03,0.03,0,0
104,1996-08-31,1996-09-12,0.02,0.02,0,0
105,1996-05-31,1996-06-20,0.04,0.04,0,0
106,1996-02-29,1996-03-14,0.02,0.03,-0.01,-33.3333
